,crop_name,soil_type,crop_age_days,day_of_year,temperature_C,humidity_%,rainfall_mm,effective_rainfall_mm,solar_radiation_MJ_m2_day,wind_speed_m_s,field_capacity_%,wilting_point_%,soil_moisture_%,reference_evapotranspiration_ET0_mm_day,crop_coefficient_Kc,application_efficiency_%,root_zone_depth_m,available_water_content_mm_per_m,irrigation_interval_days,p_fraction,irrigate,irrigation_amount_m3
6252,Tomato,Loamy,58,176,32.24,60.81,6.52,2.94,18.35,1.53,30.25,19.59,23.32,3.061,1.027,78.36,0.63,176.37,7,0.477,0,0.0
4684,Rice,Clayey,30,49,31.63,31.05,0.18,0.11,9.72,1.98,41.41,23.26,25.51,2.763,1.0,61.69,0.778,137.93,2,0.558,1,933.207
1731,Tomato,Loamy,15,167,20.13,61.4,1.28,0.74,23.71,4.76,34.31,16.7,20.47,2.247,0.615,81.43,0.371,121.72,5,0.46,1,270.3044
4742,Wheat,Silty,80,95,28.0,85.05,0.32,0.17,11.76,4.59,34.42,13.98,18.73,2.803,0.72,71.76,1.183,122.82,7,0.355,1,934.1868
4521,Tomato,Sandy,34,301,28.46,71.42,1.35,0.9,28.6,4.61,25.86,8.54,19.87,2.623,0.892,65.55,0.312,153.49,6,0.517,0,0.0
6340,Rice,Silty,36,125,25.9,77.68,3.32,1.87,28.17,3.98,34.31,15.63,27.92,2.027,1.048,73.3,0.505,82.19,3,0.462,0,0.0
576,Maize,Silty,82,299,22.38,80.26,10.34,8.67,21.92,3.87,28.9,14.8,26.89,2.0,0.908,89.83,0.962,138.76,1,0.351,0,0.0
5202,Tomato,Clayey,51,260,33.84,61.63,0.28,0.24,21.04,1.18,43.22,19.13,32.8,2.004,1.02,61.95,0.443,81.89,3,0.556,0,0.0
6363,Maize,Sandy,102,280,24.07,93.43,0.1,0.08,27.79,3.16,21.37,13.47,20.24,2.432,0.688,76.81,0.822,159.43,2,0.375,0,0.0
439,Tomato,Silty,6,365,32.22,43.51,4.16,1.87,26.52,0.97,34.56,17.7,27.53,2.994,0.426,87.88,0.584,132.07,2,0.436,0,0.0
